platform,north_america_millions,north_america,europe_millions,europe,japan_millions,japan,rest_of_the_world_millions,rest_of_the_world,unknown_sales_millions,unknown_sales,global_millions,global,released_date,discontinued_date, msrp_usd ,handheld,total_available_games,failure_rate_percentage,vendor,position_when_scraped
PlayStation 2 (PS2),53.65,"53,650,000",55.28,"55,280,000",23.18,"23,180,000",26.59,"26,590,000",0.00,0,158.7,"158,700,000",2000,2013, $299.00 ,FALSE,3565,7.5,Sony,1
Nintendo DS (DS),57.92,"57,920,000",51.84,"51,840,000",32.99,"32,990,000",11.28,"11,280,000",0.00,0,154.03,"154,030,000",2004,2014, $149.99 ,TRUE,3289,7.5,Nintendo,2
Nintendo Switch (NS),46.17,"46,170,000",33.11,"33,110,000",30.46,"30,460,000",19.68,"19,680,000",0.00,0,129.42,"129,420,000",2017,0, $299.99 ,TRUE,2258,7.5,Nintendo,3
Game Boy (GB),43.18,"43,180,000",40.05,"40,050,000",32.47,"32,470,000",2.99,"2,990,000",0.00,0,118.69,"118,690,000",1989,2003, $89.99 ,TRUE,1600,7.5,Nintendo,4
PlayStation 4 (PS4),38.08,"38,080,000",45.86,"45,860,000",9.65,"9,650,000",23.52,"23,520,000",0.00,0,117.11,"117,110,000",2013,2021, $399.99 ,FALSE,2747,7.5,Sony,5
PlayStation (PS),40.78,"40,780,000",31.09,"31,090,000",21.59,"21,590,000",9.04,"9,040,000",0.00,0,102.5,"102,500,000",1994,2006, $299.00 ,FALSE,2707,7.5,Sony,6
Nintendo Wii (Wii),45.51,"45,510,000",33.12,"33,120,000",12.77,"12,770,000",10.23,"10,230,000",0.00,0,101.63,"101,630,000",2006,2017, $249.99 ,FALSE,1676,2.7,Nintendo,7
PlayStation 3 (PS3),29.92,"29,920,000",30.87,"30,870,000",10.47,"10,470,000",16.14,"16,140,000",0.00,0,87.4,"87,400,000",2006,2017, $599.99 ,FALSE,1905,10,Sony,8
Xbox 360 (X360),47.09,"47,090,000",25.08,"25,080,000",1.66,"1,660,000",11.9,"11,900,000",0.00,0,85.73,"85,730,000",2005,2016, $299.00 ,FALSE,1735,23.7,Microsoft,9
Game Boy Advance (GBA),40.39,"40,390,000",21.31,"21,310,000",16.96,"16,960,000",2.85,"2,850,000",0.00,0,81.51,"81,510,000",2001,2010, $99.99 ,TRUE,1658,7.5,Nintendo,10
PlayStation Portable (PSP),21.41,"21,410,000",24.39,"24,390,000",20.01,"20,010,000",14.98,"14,980,000",0.00,0,80.79,"80,790,000",2004,2014, $249.99 ,TRUE,1807,7.5,Sony,11
Nintendo 3DS (3DS),25.47,"25,470,000",20.45,"20,450,000",24.67,"24,670,000",5.35,"5,350,000",0.00,0,75.94,"75,940,000",2011,2020, $249.00 ,TRUE,1193,7.5,Nintendo,12
Nintendo Entertainment System (NES),33.49,"33,490,000",8.3,"8,300,000",19.35,"19,350,000",0.77,"770,000",0.00,0,61.91,"61,910,000",1983,1995, $179.00 ,FALSE,1107,7.5,Nintendo,13
Xbox One (XOne),32.97,"32,970,000",14.86,"14,860,000",0.12,"120,000",10.02,"10,020,000",0.00,0,57.97,"57,970,000",2013,2020, $499.00 ,FALSE,1904,7.5,Microsoft,14
Super Nintendo Entertainment System (SNES),22.88,"22,880,000",8.15,"8,150,000",17.17,"17,170,000",0.9,"900,000",0.00,0,49.1,"49,100,000",1990,2005, $199.00 ,FALSE,1211,7.5,Nintendo,15
PlayStation 5 (PS5),16.75,"16,750,000",13.17,"13,170,000",4.23,"4,230,000",8.07,"8,070,000",0.01,"10,000",42.23,"42,230,000",2020,0, $499.00 ,FALSE,557,7.5,Sony,16
Sega Genesis (GEN),18.5,"18,500,000",8.39,"8,390,000",3.58,"3,580,000",3.59,"3,590,000",0.00,0,34.06,"34,060,000",1988,1997, $189.00 ,FALSE,805,7.5,Sega,17
Nintendo 64 (N64),20.11,"20,110,000",6.35,"6,350,000",5.54,"5,540,000",0.93,"930,000",0.00,0,32.93,"32,930,000",1996,2002, $199.00 ,FALSE,393,7.5,Nintendo,18
Atari 2600 (2600),23.54,"23,540,000",3.35,"3,350,000",2.36,"2,360,000",0.75,"750,000",0.00,0,30,"30,000,000",1977,1992, $189.95 ,FALSE,501,7.5,Atari,19
Xbox (XB),15.77,"15,770,000",7.17,"7,170,000",0.47,"470,000",1.24,"1,240,000",0.00,0,24.65,"24,650,000",2001,2006, $299.00 ,FALSE,983,7.5,Microsoft,20
Xbox Series X/S (XS),12.47,"12,470,000",6.43,"6,430,000",0.49,"490,000",3.84,"3,840,000",0.00,0,23.23,"23,230,000",2020,0, $499.00 ,FALSE,536,7.5,Microsoft,21
GameCube (GC),12.55,"12,550,000",4.44,"4,440,000",4.04,"4,040,000",0.71,"710,000",0.00,0,21.74,"21,740,000",2001,2007, $199.00 ,FALSE,663,7.5,Nintendo,22
Sega Master System (MS),2,"2,000,000",6.95,"6,950,000",2.52,"2,520,000",9.37,"9,370,000",0.00,0,20.84,"20,840,000",1986,1996, $200.00 ,FALSE,336,7.5,Sega,23
PlayStation Vita (PSV),2.7,"2,700,000",3.94,"3,940,000",5.73,"5,730,000",3.44,"3,440,000",0.01,"10,000",15.82,"15,820,000",2011,2019, $249.99 ,TRUE,1105,7.5,Sony,24
Nintendo Wii U (WiiU),6.15,"6,150,000",3.27,"3,270,000",3.33,"3,330,000",0.82,"820,000",0.00,0,13.57,"13,570,000",2012,2017, $299.00 ,FALSE,554,7.5,Nintendo,25
GameGear (GG),5.4,"5,400,000",3.23,"3,230,000",1.78,"1,780,000",0.21,"210,000",0.00,0,10.62,"10,620,000",1990,2000, $149.99 ,TRUE,334,7.5,Sega,26
TurboGrafx-16 (TG16),0.75,"750,000",0,0,7.76,"7,760,000",0,0,1.49,"1,490,000",10,"10,000,000",1987,1994, $199.00 ,FALSE,686,7.5,NEC,27
